,state_name
Texas,5195
California,4267
North Carolina,3232
Alabama,2822
New York,2784
Ohio,2611
South Carolina,2576
Georgia,2575
Florida,2534
Illinois,2497
Minnesota,2451
Indiana,2177
Pennsylvania,2135
Kentucky,2125
Washington,2121
Tennessee,2026
Oklahoma,1991
Wisconsin,1970
Michigan,1923
Missouri,1723
Iowa,1444
Virginia,1430
North Dakota,1422
Oregon,1413
Utah,1403
Louisiana,1375
Nebraska,1351
Kansas,1293
Montana,1248
Mississippi,1222
Colorado,1216
South Dakota,1111
Arkansas,1057
Arizona,910
Idaho,900
Wyoming,866
Maryland,746
West Virginia,744
Massachusetts,642
New Mexico,634
New Jersey,498
Nevada,382
Maine,353
Vermont,331
Connecticut,303
New Hampshire,234
Alaska,181
Hawaii,174
Delaware,173
Rhode Island,149
District of Columbia,22
